name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London, UK",2022-04-16,17.9,7.9,12.5,17.9,6.7,12.3,7.4,73,0,0,,,0,0,33.1,19.7,87.1,1029.7,42.9,8.6,159.2,13.9,7,10,2022-04-16T06:02:53,2022-04-16T19:58:53,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
"London, UK",2022-04-17,18.1,7.5,12.9,18.1,7.5,12.8,3.8,59.4,0,0,,,0,0,36.7,14.4,119.5,1023.3,70.5,24.1,221,19.2,7,10,2022-04-17T06:00:45,2022-04-17T20:00:33,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"London, UK",2022-04-18,16.2,7.7,12.3,16.2,7.7,12.3,4.8,61.9,0,9.5,,,0,0,25.9,9.7,257.1,1016.8,78.1,24.1,210.8,18.2,6,10,2022-04-18T05:58:38,2022-04-18T20:02:13,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"London, UK",2022-04-19,14.3,7.9,11.2,14.3,7.1,11,3,58.3,1.5,42.9,,rain,0,0,32.4,13.3,114.7,1016,87.1,24.1,104.3,9,4,10,2022-04-19T05:56:32,2022-04-19T20:03:53,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"London, UK",2022-04-20,17.1,7.2,11.6,17.1,5.1,10.9,4.3,64.2,2.4,28.6,,rain,0,0,38.5,15.1,40.4,1016.4,65.8,24.1,219.3,18.9,7,10,2022-04-20T05:54:27,2022-04-20T20:05:34,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"London, UK",2022-04-21,11.8,5.7,8.7,11.8,2.3,7.4,4.9,77.8,0.2,23.8,,rain,0,0,45.7,24.1,47.1,1012.9,63.7,24.1,149.4,12.8,5,10,2022-04-21T05:52:22,2022-04-21T20:07:14,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"London, UK",2022-04-22,15,5.3,9.7,15,1.3,7.8,6.2,80.4,0,52.4,,rain,0,0,50.8,31.3,42.1,1008.8,24.6,24.1,274.3,23.8,7,10,2022-04-22T05:50:19,2022-04-22T20:08:54,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"London, UK",2022-04-23,12.5,8.1,9.8,12.5,4.7,7.8,7.4,85.3,0.3,28.6,,rain,0,0,45,24.8,35.7,1007.1,98.3,24.1,86.6,7.4,3,10,2022-04-23T05:48:16,2022-04-23T20:10:34,0.75,Overcast,Cloudy skies throughout the day.,cloudy,
"London, UK",2022-04-24,9.1,4.2,7.8,5.8,-1.1,3.8,4.7,81,0.5,42.9,,rain,0,0,53.6,34.2,50.2,1010.6,77.3,24.1,58.9,5,2,10,2022-04-24T05:46:14,2022-04-24T20:12:13,0.81,Partially cloudy,Partly cloudy throughout the day.,wind,
"London, UK",2022-04-25,8.7,1.8,6,4.9,-1.8,1.8,-0.4,64.1,0.2,33.3,,rain,0,0,52.9,29.9,39,1015.3,51.7,24.1,158.6,14,3,10,2022-04-25T05:44:14,2022-04-25T20:13:53,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
