name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sheffield, UK",2022-04-16,19,7.7,13.4,19,6.1,13,8.8,75.5,0,0,,rain,0,0,38.9,18.3,146.5,1028.5,51.1,9.6,58.7,5.1,1,10,2022-04-16T06:04:15,2022-04-16T20:08:18,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGCC,F0705,EGSY,EGXP,EGNX,EGCN"
"Sheffield, UK",2022-04-17,17.8,8.1,12.8,17.8,7.3,12.5,5.3,62.3,0,14.3,,,0,0,43.9,17.6,178.3,1021.9,97.3,24.1,199.8,17.3,6,10,2022-04-17T06:01:59,2022-04-17T20:10:07,0.51,Overcast,Cloudy skies throughout the day.,cloudy,
"Sheffield, UK",2022-04-18,13.2,7.3,10.6,13.2,7.2,10.1,3.6,63.1,0,19,,rain,0,0,36,14.4,248.8,1016,68,24.1,186.6,16.2,7,10,2022-04-18T05:59:43,2022-04-18T20:11:56,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Sheffield, UK",2022-04-19,13.3,4.3,9.1,13.3,3.2,8.7,3.9,71.1,0.5,52.4,,rain,0,0,31.3,12.2,252.6,1017.3,63.3,24.1,211,18.3,7,10,2022-04-19T05:57:29,2022-04-19T20:13:45,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
"Sheffield, UK",2022-04-20,15.1,5.3,9.7,15.1,2.6,8.8,4.4,72,0,14.3,,,0,0,33.5,13.3,128.8,1019,69.7,24.1,255.4,22,8,10,2022-04-20T05:55:15,2022-04-20T20:15:33,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Sheffield, UK",2022-04-21,10.9,5,7.7,10.9,1.8,6.5,4.7,82.4,0.6,23.8,,rain,0,0,40.3,20.5,94.4,1015.9,81.7,23.1,136,11.8,5,10,2022-04-21T05:53:01,2022-04-21T20:17:22,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Sheffield, UK",2022-04-22,12.3,4.2,7.9,12.3,1.1,5.7,4.3,80.1,0,33.3,,rain,0,0,40.7,27.4,46.9,1013.6,60.4,16.6,206.8,18.1,7,10,2022-04-22T05:50:49,2022-04-22T20:19:11,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Sheffield, UK",2022-04-23,10.7,6.8,8.1,10.7,3.5,5.2,6.1,87.5,0.8,23.8,,rain,0,0,44.4,23.8,46.1,1012,100,17.7,74.1,6.3,3,10,2022-04-23T05:48:38,2022-04-23T20:20:59,0.75,Overcast,Cloudy skies throughout the day.,cloudy,
"Sheffield, UK",2022-04-24,8.2,4,6.6,4.1,-0.5,2.4,2.7,77.5,2.9,42.9,,rain,0,0,48.2,31,59.3,1016.6,95.3,22,171.5,14.9,4,10,2022-04-24T05:46:28,2022-04-24T20:22:48,0.81,Overcast,Cloudy skies throughout the day.,wind,
"Sheffield, UK",2022-04-25,8.5,2.4,5.5,5.2,-0.2,2,1.2,74.3,2.7,23.8,,rain,0,0,39.6,24.8,44.4,1019.1,83.9,22.9,170.1,14.8,5,10,2022-04-25T05:44:19,2022-04-25T20:24:36,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Sheffield, UK",2022-04-26,8.6,0.6,4.7,6,-2.4,2.2,0.7,76,2.1,33.3,,"rain,snow",0,0,27.4,16.2,149.3,1017.9,53.9,21.6,195.5,16.7,4,10,2022-04-26T05:42:11,2022-04-26T20:26:24,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Sheffield, UK",2022-04-27,11.1,1.3,6.3,11.1,-0.6,5,0.1,66.6,0.4,52.4,,rain,0,0,23.8,17.6,283.8,1018.7,25.6,24.1,247.6,21.6,6,10,2022-04-27T05:40:04,2022-04-27T20:28:12,0.95,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,
